epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,133902,0.86541,0.51571,1.12822,0.83956,0.7108,0.76227,0.55724,0.94635,1.21064,1.31221,0.00016675,0.00016675,0.00016675
103,135305,0.84917,0.50487,1.12175,0.83625,0.69977,0.75624,0.54996,0.93946,1.24007,1.30261,0.0001585,0.0001585,0.0001585
104,137105,0.83555,0.50795,1.12025,0.83322,0.70428,0.75152,0.55231,0.94223,1.21387,1.30431,0.00015025,0.00015025,0.00015025
105,138261,0.84727,0.5065,1.12476,0.82843,0.70954,0.75359,0.555,0.93805,1.23791,1.29862,0.000142,0.000142,0.000142
106,139600,0.84225,0.50062,1.11988,0.80381,0.71913,0.75355,0.55319,0.9375,1.19367,1.29793,0.00013375,0.00013375,0.00013375
107,140536,0.82056,0.49285,1.11318,0.81511,0.71562,0.75491,0.55248,0.94182,1.24002,1.30311,0.0001255,0.0001255,0.0001255
108,141796,0.81965,0.49202,1.10837,0.82149,0.70337,0.75383,0.55038,0.94564,1.22842,1.30802,0.00011725,0.00011725,0.00011725
109,143190,0.83122,0.49283,1.11418,0.82209,0.70755,0.75103,0.54961,0.94411,1.22859,1.30436,0.000109,0.000109,0.000109
110,144437,0.82421,0.49292,1.11379,0.8283,0.70444,0.75133,0.55141,0.94257,1.2094,1.30295,0.00010075,0.00010075,0.00010075
111,145647,0.79676,0.43532,1.10382,0.84244,0.69125,0.74716,0.54846,0.94119,1.20704,1.30563,9.25e-05,9.25e-05,9.25e-05
112,146925,0.79276,0.42579,1.09779,0.79834,0.69756,0.74567,0.54291,0.9401,1.18105,1.30716,8.425e-05,8.425e-05,8.425e-05
113,148337,0.77265,0.41277,1.09174,0.80384,0.69583,0.75074,0.54587,0.94382,1.19055,1.31377,7.6e-05,7.6e-05,7.6e-05
114,149349,0.77734,0.41429,1.09301,0.80396,0.69594,0.7521,0.54801,0.94221,1.18836,1.31646,6.775e-05,6.775e-05,6.775e-05
115,150469,0.7682,0.4056,1.08695,0.84611,0.67796,0.7513,0.54827,0.94337,1.16928,1.32081,5.95e-05,5.95e-05,5.95e-05
116,151842,0.77639,0.40974,1.0919,0.85221,0.67631,0.75126,0.54884,0.94429,1.16513,1.32287,5.125e-05,5.125e-05,5.125e-05
117,153212,0.76202,0.40532,1.08472,0.8531,0.67864,0.75321,0.55137,0.94404,1.16137,1.32305,4.3e-05,4.3e-05,4.3e-05
118,154205,0.75866,0.40534,1.08583,0.82246,0.70208,0.75477,0.5535,0.94472,1.16988,1.32406,3.475e-05,3.475e-05,3.475e-05
119,155387,0.75518,0.40287,1.07998,0.82332,0.70198,0.75484,0.55183,0.94466,1.16175,1.32315,2.65e-05,2.65e-05,2.65e-05
120,156810,0.76195,0.39903,1.08033,0.8101,0.71226,0.75273,0.54904,0.94547,1.16765,1.3226,1.825e-05,1.825e-05,1.825e-05
